dataset_version,snapshot_name,test_manifest_sha256,symbol,timeframe,model,split,n_samples,mae,rmse,mape_pct,directional_accuracy,naive_mae,naive_rmse,naive_mape_pct,naive_directional_accuracy,improvement_vs_naive_rmse_pct,run_id,seed,status
group_dataset_v1,ohlcv_full_current,cec96b36fe60426ca8b33935a189b01548951b75f594a95a6e47dbaba1af0098,SOLUSDT,1d,xgboost,test,109,34.352633445809744,34.938606356892706,43.1890892774432,0.4587155963302752,1.817798165137616,2.343120713684869,2.2527071399184715,0.0091743119266055,-1391.1142286795418,05966496afa74a37bf319c5a1c9743a2,42,preliminary
group_dataset_v1,ohlcv_full_current,cec96b36fe60426ca8b33935a189b01548951b75f594a95a6e47dbaba1af0098,SOLUSDT,1d,random_forest,test,109,30.938171030554503,32.03796586081353,39.309863775783136,0.4587155963302752,1.817798165137616,2.343120713684869,2.2527071399184715,0.0091743119266055,-1267.3203294093018,7514315c5e5341c785703ccdf6bc3c6b,42,preliminary
group_dataset_v1,ohlcv_full_current,cec96b36fe60426ca8b33935a189b01548951b75f594a95a6e47dbaba1af0098,SOLUSDT,1d,gru,test,109,2.2157705961752283,2.72152142400402,2.774825187266583,0.4587155963302752,1.817798165137616,2.343120713684869,2.2527071399184715,0.0091743119266055,-16.149433023621977,9aefc580fa37478d98c01e37d0e4d849,42,preliminary
group_dataset_v1,ohlcv_full_current,cec96b36fe60426ca8b33935a189b01548951b75f594a95a6e47dbaba1af0098,SOLUSDT,1d,arima,test,109,1.820878632626222,2.3487553200959628,2.25811671774242,0.4862385321100917,1.817798165137616,2.343120713684869,2.2527071399184715,0.0091743119266055,-0.2404744398436372,e0a9c115ae0a4751987f6fe3c8f07b97,42,preliminary
group_dataset_v1,ohlcv_full_current,aba2e3b7a67ec33f845ce980fad30a013aac326e93bc91324e11b318ad8f9d7b,BTCUSDT,1h,arima,test,2627,208.90124857330528,308.45335288675227,0.2971799058483681,0.5043776170536733,209.00406547392464,308.393409021871,0.2973559265781384,0.0,-0.0194374662777048,79757fccdda445a59d94b990927d6a8e,42,preliminary
group_dataset_v1,ohlcv_full_current,aba2e3b7a67ec33f845ce980fad30a013aac326e93bc91324e11b318ad8f9d7b,BTCUSDT,1h,xgboost,test,2627,542.051315664256,734.2681132921808,0.7442811333868075,0.4998096688237533,209.00406547392464,308.393409021871,0.2973559265781384,0.0,-138.09461934386127,7264425fb3ee45caa3ee93d9dfd53380,42,preliminary
group_dataset_v1,ohlcv_full_current,aba2e3b7a67ec33f845ce980fad30a013aac326e93bc91324e11b318ad8f9d7b,BTCUSDT,1h,random_forest,test,2627,273.6514797098234,376.40434143329344,0.3841133472067256,0.5085649029311001,209.00406547392464,308.393409021871,0.2973559265781384,0.0,-22.053302833913413,c12d3dafa5cd44d1b115c4f0c8bcb2d6,42,preliminary
group_dataset_v1,ohlcv_full_current,aba2e3b7a67ec33f845ce980fad30a013aac326e93bc91324e11b318ad8f9d7b,BTCUSDT,1h,gru,test,2627,278.1641749471491,373.7477772033299,0.4030997260519408,0.4979063570612866,209.00406547392464,308.393409021871,0.2973559265781384,0.0,-21.191882274249277,6d055dcb8df84dc993eb5f821a0f7489,42,preliminary
group_dataset_v1,ohlcv_full_current,62d82e13b48f337623235e20c2412d435395fef46fea5a24776ea895d1c8b828,ACB,1d,arima,test,78,0.2723486963730755,0.388201911397677,1.3135850175231931,0.5128205128205128,0.2669230769230771,0.3902169022085419,1.2888783803605892,0.1025641025641025,0.5163771224312451,27237ab7dc3846e29edafc6551132ed8,42,preliminary
group_dataset_v1,ohlcv_full_current,62d82e13b48f337623235e20c2412d435395fef46fea5a24776ea895d1c8b828,ACB,1d,xgboost,test,78,0.482620036785419,0.6483500635961558,2.2828518759739103,0.4871794871794871,0.2669230769230771,0.3902169022085419,1.2888783803605892,0.1025641025641025,-66.15119948075979,15b4c474f1ec4a929662101f34466947,42,preliminary
group_dataset_v1,ohlcv_full_current,62d82e13b48f337623235e20c2412d435395fef46fea5a24776ea895d1c8b828,ACB,1d,random_forest,test,78,0.5256917774782226,0.6368350104288932,2.573342279961495,0.3846153846153846,0.2669230769230771,0.3902169022085419,1.2888783803605892,0.1025641025641025,-63.20026293698378,a9916b77672e4437996a1ce165c5a003,42,preliminary
group_dataset_v1,ohlcv_full_current,62d82e13b48f337623235e20c2412d435395fef46fea5a24776ea895d1c8b828,ACB,1d,gru,test,78,0.2678177063587382,0.3873986249831136,1.2929219796096345,0.5512820512820513,0.2669230769230771,0.3902169022085419,1.2888783803605892,0.1025641025641025,0.722233508973455,3cec04baa8c646e9a15f788abd7b2490,42,preliminary
